SMILES,Target_logP,Target_SAS,logP,SAS,QED,logP_Error,SAS_Error,logP_in_limit,SAS_in_limit,Both_in_limit
C[C@@H]1[NH2+]CCN1C[C@@H]1CCC[NH+]1[C@@H]1CCO[C@]2(CCSC2)C1,-1.210044720041446,6.985853271851522,-0.6865999999999957,6.8669104079272545,0.7202335790286076,0.5234447200414503,0.11894286392426778,False,True,False
CCO[C@@H]1CC[NH+]([C@@H]2CCC[C@]2(CO)[NH2+]C)C1,-1.210044720041446,6.985853271851522,-1.8430999999999957,6.172349087844275,0.5321059163096696,0.6330552799585498,0.8135041840072477,False,False,False
CC[NH+]1CC[C@@H](C[NH+](C)C[C@H]2CCC[C@H]2C#N)C1,-1.210044720041446,6.985853271851522,-0.6343199999999971,6.318331636930354,0.6697489039567898,0.5757247200414488,0.6675216349211679,False,False,False
C[NH2+][C@@H](C)C[NH+]1C[C@H](CC)[C@@H](C)C1,-1.210044720041446,6.985853271851522,-0.8710999999999971,6.508303272496061,0.569475628220458,0.3389447200414488,0.4775499993554613,True,True,True
CC[NH2+][C@H](CC)C[C@@H](C)[NH+](C)CC,-1.210044720041446,6.985853271851522,-0.33849999999999714,6.257479828499126,0.5455039198430457,0.8715447200414488,0.7283734433523961,False,False,False
C[NH2+][C@@H]1[C@@H](CO)CC[C@H]([NH+]2C[C@H](C)S[C@H](C)C2)C1,-1.210044720041446,6.985853271851522,-0.8820999999999963,6.469743789088579,0.6254605991394498,0.3279447200414496,0.5161094827629435,True,False,False
C[NH+]1CC[C@H]([C@H]2CC[NH+](C)[C@H]2C)[C@@H](O)C1,-1.210044720041446,6.985853271851522,-2.194999999999995,6.866754419986884,0.4545307946620474,0.984955279958549,0.11909885186463853,False,True,False
COCC[NH+]1CCC[C@@]2(CC(=O)NC(=O)[C@H]3CC[NH+](C[C@@H]4CCCO4)[C@@H]3C2)CC1,-1.210044720041446,6.985853271851522,-1.4229999999999932,6.4024213225702145,0.4874543395098438,0.21295527995854724,0.5834319492813078,True,False,False
C[C@H]1C[NH+]2CCCC[C@@H]2CN1CCC[C@@H]1CCCC[NH2+]1,-1.210044720041446,6.985853271851522,0.024000000000003463,5.979344406349524,0.7461667924209827,1.2340447200414495,1.0065088655019983,False,False,False
Cn1c(=O)oc2cc(C[NH+]3[C@@H]4CCCC[C@H]4C[C@@H]3c3ccc(Cl)s3)ccc21,4.19762394990548,4.8184059147331135,3.935100000000003,4.746291529971917,0.7191301080430308,0.2625239499054768,0.07211438476119625,True,True,True
CCC[NH2+][C@H](C1CCCCC1)C12CC3CC(CC(C3)C1)C2,4.19762394990548,4.8184059147331135,4.125100000000003,4.96505032018403,0.7839939421705586,0.07252394990547639,0.14664440545091662,True,True,True
C[NH2+][C@@H](c1ccc(Cl)s1)[C@H]1CCOC2(CCCCC2)C1,4.19762394990548,4.8184059147331135,3.7653000000000034,4.7211583754982325,0.9027504032107865,0.4323239499054763,0.09724753923488105,False,True,False
CC(C)CN(C)C(=O)C12CC3C[C@](C)(C1)C[C@@](C)(C3)C2,4.19762394990548,4.8184059147331135,4.097400000000004,5.17476606380913,0.760366007842348,0.10022394990547578,0.3563601490760169,True,True,True
C[C@]12CC3C[C@](C)(C(=O)O3)[C@@H]3CCC[C@@]31CC(=O)C2(C)C,4.19762394990548,4.8184059147331135,3.503700000000003,6.094992832020884,0.6412556957293166,0.6939239499054768,1.2765869172877702,False,False,False
CNS(=O)(=O)CC(=O)NCCC(N)=O,-4.515903201794687,2.0931254960455146,-2.4727999999999986,2.3996998164613697,0.461930299004836,2.043103201794689,0.3065743204158551,False,True,False
CNC(=O)CNC(=O)C(=O)NCC(=O)N(C)C,-4.515903201794687,2.0931254960455146,-2.9469999999999965,2.206113434987408,0.4595033636316698,1.568903201794691,0.11298793894189352,False,True,False
Cn1nnnc1SCC(=O)NCC(N)=O,-4.515903201794687,2.0931254960455146,-2.0962999999999994,2.283440435877086,0.5598607247631313,2.419603201794688,0.19031493983157155,False,True,False
CNC(=O)CNCC(=O)N1CCN(C(=O)CO)CC1,-4.515903201794687,2.0931254960455146,-3.0148999999999964,2.259781192045228,0.49446632258191153,1.501003201794691,0.16665569599971342,False,True,False
CS(=O)(=O)N1CCN(CC(=O)NN)CC1,-4.515903201794687,2.0931254960455146,-2.446499999999997,2.1132269649577626,0.3221474848303104,2.0694032017946906,0.020101468912248066,False,True,False
CNC(=O)CN1CCN(C(=O)CO)CC1,-4.515903201794687,2.0931254960455146,-2.1310999999999973,2.0043526309990387,0.5638105586599677,2.38480320179469,0.08877286504647586,False,True,False
COCCCNC(=O)CNS(N)(=O)=O,-4.515903201794687,2.0931254960455146,-2.0677999999999974,2.2489221657337186,0.4322158340548244,2.44810320179469,0.15579666968820405,False,True,False
CC(=O)N1CCN(CC(=O)NOCC(N)=O)CC1,-4.515903201794687,2.0931254960455146,-2.316399999999997,2.3419375609997637,0.5387438921324683,2.1995032017946903,0.24881206495424912,False,True,False
C/C(=N\NC(=O)CN1CCN(C(N)=O)CC1)C(N)=O,-4.515903201794687,2.0931254960455146,-2.3398999999999965,2.5311693055154674,0.3895044904890997,2.176003201794691,0.4380438094699528,False,True,False
CC(=O)CNc1n[nH]c(=O)[nH]c1=O,-4.515903201794687,2.0931254960455146,-1.5408999999999997,2.7682256840747606,0.5272013723063154,2.9750032017946877,0.675100188029246,False,False,False
COc1ccc([C@H]([NH3+])[C@H]2[NH+]=c3ccccc3=[NH+]2)cc1,-5.997493690035828,6.465390318868046,-3.5814999999999966,4.573039566891428,0.5223241508932573,2.4159936900358314,1.8923507519766183,False,False,False
CCN(CC[C@@H](O)C[NH3+])C(=O)N1CC[NH+](C)CC1,-5.997493690035828,6.465390318868046,-2.7484999999999946,5.030226817162452,0.5012522670925392,3.2489936900358334,1.4351635017055937,False,False,False
CN(C[C@@H]1CCC[NH+](C)C1)C(=O)[O-],-5.997493690035828,6.465390318868046,-1.8137999999999965,5.507657311488798,0.5521841649201168,4.183693690035831,0.9577330073792476,False,False,False
C[NH2+][C@@]1(C(=O)[O-])CC[C@@H](N2CC[NH+](CCOC)CC2)C1,-5.997493690035828,6.465390318868046,-3.9322999999999944,5.8551886315966835,0.5229692369213305,2.0651936900358336,0.6102016872713625,False,False,False
CCS(=O)(=O)NC[C@@H]1C[NH+]2CCN1CC2,-5.997493690035828,6.465390318868046,-2.4915999999999956,5.566486498455995,0.5657411983918611,3.5058936900358324,0.898903820412051,False,False,False
CC(C)[NH+]1CCN(CC[NH3+])C[C@H]1C(=O)[O-],-5.997493690035828,6.465390318868046,-4.044299999999996,6.006798317646526,0.5021905049192332,1.9531936900358318,0.4585920012215201,False,True,False
CO/[C@@H](CNC(=O)CN1CC[NH2+]CC1)[NH+]1CCC2(C1)OCCO2,-5.997493690035828,6.465390318868046,-4.0141999999999936,5.845690413573919,0.46237647772322715,1.9832936900358344,0.6196999052941266,False,False,False
C/[NH+]=C(\NCc1noc(C2CC2)n1)N[C@H]1CC[NH+](C)C1,-5.997493690035828,6.465390318868046,-3.020399999999996,5.352678828242144,0.348654682439325,2.977093690035832,1.1127114906259017,False,False,False
C/[NH+]=C(/NC[C@H]1C[NH+](C)CCN1C)NC[C@@H]1CN2CCC[C@@H]2CO1,-5.997493690035828,6.465390318868046,-4.076099999999996,5.498874883572332,0.3098843123778208,1.9213936900358322,0.9665154352957144,False,False,False
CC[C@@H]1CCC[NH+](C[C@@H]2Cc3ccc(Cl)cc3C[NH+]2C(C)C)CC1,2.2176482321547857,5.4920186574852545,2.1529999999999996,5.4429747556950945,0.8230496960934989,0.0646482321547861,0.04904390179016005,True,True,True
C[NH2+][C@@H]1c2cc(F)c(Br)c(F)c2C[C@H]1[C@@H]1CCC[NH+]1Cc1ccccc1,2.2176482321547857,5.4920186574852545,2.3814,5.385666335384219,0.7053982300416949,0.1637517678452145,0.10635232210103585,True,True,True
Cc1ccc(NC(=S)NC(=O)N[C@@H](C)[C@@H]2CCO[C@@]3(CCSC3)C2)o1,2.2176482321547857,5.4920186574852545,3.274820000000002,4.811165866052811,0.6957525697051057,1.0571717678452162,0.6808527914324438,False,False,False
CC1(C)C[C@H]2C[C@@](C)(C[NH+]2Cc2ncc(C(F)(F)F)o2)C1,2.2176482321547857,5.4920186574852545,2.6769000000000007,5.838226560303779,0.9103352346471282,0.45925176784521504,0.34620790281852454,False,True,False
CCC[NH2+][C@]1(CO)CCC[C@H]([NH+](C)[C@@H](C)c2sccc2C)C1,2.2176482321547857,5.4920186574852545,1.2793200000000016,5.712046515775595,0.6940976457468291,0.9383282321547841,0.2200278582903401,False,True,False
